id,day,event_type,category,region,device,account_age_days,num_prev_listings,prev_reports_30d,verification_level,price,num_images,message_length,contains_off_platform,urgency_words,payment_attempt,time_to_first_response_min,risk_score
1092,2,ad_post,furniture,metro,android,27.9,5,2,0,,3,64,1,0,0,8.8,0.9864059238332901
1398,5,message_send,other,rural,android,31.4,3,1,0,235.12,1,189,1,1,0,13.9,0.9829779031401678
1547,3,ad_post,other,metro,android,46.1,1,1,0,128.28,7,141,1,0,1,71.2,0.976084233425061
1130,1,ad_post,phones,urban,android,23.5,3,2,1,169.8,3,229,1,0,0,5.2,0.9705853170464361
486,5,ad_post,fashion,rural,android,11.7,2,1,0,292.44,4,213,1,0,0,,0.9680916226654356
1831,3,ad_post,furniture,,ios,15.4,3,1,0,90.61,5,125,1,0,0,,0.966384610550126
1064,4,message_send,bikes,rural,android,33.3,0,1,0,202.65,1,161,0,1,1,,0.9658751002642857
1538,2,ad_post,phones,urban,android,47.8,3,2,1,227.32,0,158,1,0,0,22.2,0.9655626398234022
792,5,ad_post,fashion,metro,android,39.3,3,1,0,112.67,1,9,0,1,1,14.5,0.9655266658114271
181,5,message_send,bikes,metro,ios,37.2,0,1,0,113.18,2,150,0,1,1,34.9,0.9653339067128978
124,4,message_send,other,rural,android,16.0,4,1,0,99.13,6,156,1,0,0,25.4,0.965012002123673
1719,2,ad_post,fashion,urban,android,52.9,4,2,0,530.77,4,100,0,0,1,71.4,0.9638569030961528
3,5,ad_post,phones,rural,ios,81.3,5,0,1,1152.26,8,72,1,1,1,2.8,0.9617649831320568
751,4,ad_post,fashion,,ios,10.6,2,0,0,85.53,2,133,1,1,0,51.7,0.9614622266640207
1723,4,ad_post,other,rural,android,70.6,2,1,0,74.27,4,0,1,0,0,15.0,0.9561196393626239
1009,4,message_send,bikes,rural,ios,18.9,2,0,0,329.02,7,182,1,0,1,9.9,0.955093545150041
1657,4,message_send,other,metro,ios,36.7,0,1,0,115.87,1,260,1,0,0,6.9,0.9550664979761174
432,2,ad_post,furniture,urban,android,13.3,2,1,0,362.39,2,218,1,0,0,4.1,0.9542580158219561
255,4,ad_post,fashion,urban,android,36.7,5,1,0,156.54,1,100,1,0,0,,0.952497745118363
161,5,ad_post,other,rural,android,53.5,5,1,0,74.7,1,135,1,0,0,10.6,0.951150043437954
